rpm,ambient_temp_c,fuel_level_percent,sea_state,az_vibration_actual
3129,28.33201360260298,73.70648190496806,0,19.60724168013015
1611,31.544986752888697,68.03837579235743,0,12.572870367647436
1594,33.27346124171018,40.176929439481796,1,12.727710091136604
4197,29.707006210310617,38.47010367694426,2,27.73301537919158
3254,34.25570917078719,26.312070203461964,1,20.66192821863489
3540,34.59903317277369,56.860740014070345,1,22.60297955644574
3622,30.54327655124254,69.16532508178682,0,23.04784800758013
3817,28.020663697890097,97.86631179011724,0,24.37262239491551
3655,30.940725202959214,21.35767081401349,0,23.308461500171962
1964,33.468746719095634,43.322304352803876,1,14.203151567799416
3523,31.676924010728925,43.021889240938755,1,22.216712554495285
1518,29.412549684540856,87.36261639619539,0,12.178251814260047
3855,30.725384635104945,87.07203583839164,0,24.800894591791252
3436,32.34881955769807,44.061830158035384,1,21.807061757026563
801,30.68907511381784,31.71888477657248,0,10.580255175732896
4337,32.62931562635802,94.37031912398574,0,28.845535231362902
1942,30.686480181354106,99.48542263901231,1,13.805423623353244
4223,28.842117430547553,37.51566289589614,2,28.43720097112402
2405,29.166084541061196,70.28794805902376,1,15.41029893422419
3750,28.54932390121692,74.47132620960647,0,23.895666765117852
3160,30.292882964068774,53.552059802324436,0,19.906244748263447
1328,34.138289798958716,34.33369050544218,2,11.430409186228385
1007,28.617568464184014,25.36442414074463,1,10.343276653654915
4051,30.671559493752397,93.6886525762945,0,26.351079664756625
2756,28.709941601960324,66.44576798752541,1,17.020949691033866
3998,32.48522740532012,90.96708213149509,0,26.015766120341016
2143,34.243168173062045,11.451099672860309,0,14.712408188731109
4145,30.38048523144556,39.21496898301595,0,27.108150071653284
3166,29.661242023541185,75.8703487020809,0,19.915018941261067
3840,29.209262355851134,13.53720307943299,0,24.614763987879567
2488,28.160915313934016,17.807703615184163,0,16.00719066578671
2544,33.35110866249873,75.85695610231876,0,16.548792363217945
3390,31.846620936677247,74.8623878535211,0,21.49403200692987
4068,30.50743860189869,75.63028817363151,0,26.483896920193942
3584,29.679936327537455,82.03002536088655,0,22.739253836478888
3305,28.392199086874168,37.22191961929343,2,21.011259323802562
2910,32.43597284464901,35.481305110666845,0,18.500699722340464
1898,29.381309601247256,93.44711026814099,1,13.191268190451748
4420,32.70879090616674,44.58451642584115,0,29.58324068542235
3580,29.596104744978472,81.94579975127768,0,22.707906407365932
1741,30.516836156639872,66.73353134464338,0,12.968924007952007
1938,30.54668382210417,13.096870690943053,0,13.695479421228223
1690,32.67548074438156,87.17393573986656,0,12.902475297345092
4391,34.175776945653475,19.666512745684564,0,29.402571137411687
2663,32.978920556907376,74.18289073838595,1,17.291164936965473
837,28.640749482394877,36.157129408936,0,10.546107824254758
4138,33.625792281996944,14.982350437405488,1,27.20730721012159
4053,29.197525334149585,28.75122499291635,1,26.05125646287218
2472,31.97742716208238,40.64749447448357,0,16.12405679824813
4288,34.644928400525345,91.62978447872598,0,28.533891890173283
2491,33.47120082746546,75.97268782226598,1,16.53840291152827
1375,28.4570644560225,66.17190934883604,0,11.728779752954141
3217,28.507498779200496,52.37693063270112,0,20.19006549911604
1741,31.65312076329508,45.07153921609502,2,12.913605280036478
4354,29.191398111201035,45.21497634179742,1,28.814826949735355
3809,29.62736664077351,21.808491584339034,1,24.864984848948072
4356,29.253841740514826,81.0152327360346,0,28.854229767193758
1114,29.68712324911369,56.828302419826386,0,11.142453872626703
1065,30.13437179567837,45.40186955233306,0,11.058345329957938
2890,33.267125036851766,71.6360843097861,0,18.433158022019605
2580,33.93824626898939,43.73066172102355,0,16.771314113629487
